iter	MAE	Quantile:alpha=0.5
0	9.818766691	4.909383345
1	9.625791716	4.812895858
2	9.439713165	4.719856583
3	9.260640487	4.630320244
4	9.085611611	4.542805806
5	8.919357631	4.459678816
6	8.759777092	4.379888546
7	8.600972759	4.30048638
8	8.439621591	4.219810795
9	8.286579266	4.143289633
10	8.135517057	4.067758528
11	7.990181962	3.995090981
12	7.862363611	3.931181805
13	7.73855754	3.86927877
14	7.607290566	3.803645283
15	7.482180344	3.741090172
16	7.371151988	3.685575994
17	7.265212787	3.632606393
18	7.162990848	3.581495424
19	7.05402943	3.527014715
20	6.956165632	3.478082816
21	6.865556271	3.432778136
22	6.768380185	3.384190092
23	6.676446101	3.338223051
24	6.587322569	3.293661284
25	6.50386272	3.25193136
26	6.43157964	3.21578982
27	6.353174225	3.176587113
28	6.27957428	3.13978714
29	6.217007173	3.108503586
30	6.149116595	3.074558297
31	6.092679444	3.046339722
32	6.030371387	3.015185693
33	5.979672486	2.989836243
34	5.923238874	2.961619437
35	5.875549714	2.937774857
36	5.830845029	2.915422514
37	5.782109103	2.891054551
38	5.74170202	2.87085101
39	5.696216133	2.848108067
40	5.659706757	2.829853379
41	5.622431565	2.811215782
42	5.582106009	2.791053004
43	5.545543075	2.772771538
44	5.509966422	2.754983211
45	5.476628508	2.738314254
46	5.444365177	2.722182588
47	5.413485908	2.706742954
48	5.384359256	2.692179628
49	5.357060977	2.678530488
50	5.332340786	2.666170393
51	5.306157998	2.653078999
52	5.28400802	2.64200401
53	5.26220686	2.63110343
54	5.241957105	2.620978552
55	5.219940025	2.609970012
56	5.19960405	2.599802025
57	5.1814386	2.5907193
58	5.162414876	2.581207438
59	5.145542969	2.572771485
60	5.130007359	2.56500368
61	5.115144105	2.557572052
62	5.100987367	2.550493684
63	5.088873085	2.544436543
64	5.075719561	2.537859781
65	5.061921602	2.530960801
66	5.048005052	2.524002526
67	5.036178954	2.518089477
68	5.02339703	2.511698515
69	5.012867733	2.506433866
70	5.002061597	2.501030799
71	4.992519971	2.496259985
72	4.984237871	2.492118935
73	4.976892996	2.488446498
74	4.969021408	2.484510704
75	4.959548484	2.479774242
76	4.951829738	2.475914869
77	4.942562872	2.471281436
78	4.935196241	2.467598121
79	4.92753436	2.46376718
80	4.920675148	2.460337574
81	4.914277177	2.457138588
82	4.90768992	2.45384496
83	4.901419736	2.450709868
84	4.896489994	2.448244997
85	4.891620152	2.445810076
86	4.884568644	2.442284322
87	4.879080917	2.439540459
88	4.872199349	2.436099674
89	4.865640579	2.432820289
90	4.8592356	2.4296178
91	4.85535404	2.42767702
92	4.851136977	2.425568489
93	4.846399332	2.423199666
94	4.843940985	2.421970493
95	4.838034387	2.419017193
96	4.833483642	2.416741821
97	4.829485276	2.414742638
98	4.825114753	2.412557376
99	4.821911838	2.410955919
100	4.817828331	2.408914165
101	4.814658211	2.407329106
102	4.811752234	2.405876117
103	4.807688605	2.403844303
104	4.803906858	2.401953429
105	4.800418302	2.400209151
106	4.797410887	2.398705444
107	4.794806654	2.397403327
108	4.791058709	2.395529354
109	4.787609974	2.393804987
110	4.783828587	2.391914293
111	4.780750779	2.390375389
112	4.777764625	2.388882313
113	4.774417325	2.387208663
114	4.772500944	2.386250472
115	4.768624089	2.384312045
116	4.765379608	2.382689804
117	4.762204362	2.381102181
118	4.760337531	2.380168766
119	4.757449988	2.378724994
120	4.755164346	2.377582173
121	4.752210593	2.376105297
122	4.751012841	2.375506421
123	4.749000075	2.374500037
124	4.747165388	2.373582694
125	4.744648583	2.372324292
126	4.742745112	2.371372556
127	4.740495191	2.370247595
128	4.740138302	2.370069151
129	4.73699547	2.368497735
130	4.735020304	2.367510152
131	4.732972341	2.36648617
132	4.731161641	2.365580821
133	4.73015977	2.365079885
134	4.728606444	2.364303222
135	4.727175724	2.363587862
136	4.725138134	2.362569067
137	4.723302088	2.361651044
138	4.721022542	2.360511271
139	4.719007918	2.359503959
140	4.716961906	2.358480953
141	4.715924233	2.357962116
142	4.714509858	2.357254929
143	4.712689592	2.356344796
144	4.710402665	2.355201332
145	4.708497155	2.354248577
146	4.707718322	2.353859161
147	4.706924228	2.353462114
148	4.705257335	2.352628667
149	4.703930224	2.351965112
150	4.702199945	2.351099972
151	4.699895578	2.349947789
152	4.698409524	2.349204762
153	4.696695525	2.348347763
154	4.696313734	2.348156867
155	4.694302085	2.347151042
156	4.691776198	2.345888099
157	4.690510972	2.345255486
158	4.689010939	2.34450547
159	4.686664006	2.343332003
160	4.685574086	2.342787043
161	4.684338359	2.34216918
162	4.682766573	2.341383287
163	4.681577112	2.340788556
164	4.67974111	2.339870555
165	4.677853882	2.338926941
166	4.676514003	2.338257002
167	4.675294346	2.337647173
168	4.674250378	2.337125189
169	4.674135754	2.337067877
170	4.672235541	2.336117771
171	4.671638673	2.335819337
172	4.670424052	2.335212026
173	4.667577468	2.333788734
174	4.666912562	2.333456281
175	4.666202353	2.333101176
176	4.665195974	2.332597987
177	4.664452789	2.332226395
178	4.663269888	2.331634944
179	4.66249383	2.331246915
180	4.661565653	2.330782827
181	4.660898355	2.330449178
182	4.660086023	2.330043012
183	4.658929731	2.329464866
184	4.658299047	2.329149523
185	4.657355899	2.32867795
186	4.657095707	2.328547853
187	4.656337117	2.328168558
188	4.65511496	2.32755748
189	4.654000439	2.32700022
190	4.652716473	2.326358237
191	4.65132646	2.32566323
192	4.64904434	2.32452217
193	4.648687282	2.324343641
194	4.646785085	2.323392542
195	4.645227389	2.322613694
196	4.643737876	2.321868938
197	4.643112613	2.321556307
198	4.643110852	2.321555426
199	4.641509327	2.320754664
200	4.640034702	2.320017351
201	4.639147134	2.319573567
202	4.63784897	2.318924485
203	4.636789779	2.318394889
204	4.635855858	2.317927929
205	4.634634958	2.317317479
206	4.633496034	2.316748017
207	4.632167929	2.316083965
208	4.630941801	2.315470901
209	4.630237272	2.315118636
210	4.629979141	2.314989571
211	4.629114136	2.314557068
212	4.628036641	2.314018321
213	4.625770507	2.312885253
214	4.624701665	2.312350832
215	4.623272088	2.311636044
216	4.621894556	2.310947278
217	4.621116892	2.310558446
218	4.619434914	2.309717457
219	4.618701422	2.309350711
220	4.61802185	2.309010925
221	4.616909266	2.308454633
222	4.615431781	2.307715891
223	4.614530915	2.307265458
224	4.612538554	2.306269277
225	4.611481129	2.305740565
226	4.609626946	2.304813473
227	4.607942296	2.303971148
228	4.606344887	2.303172443
229	4.605218376	2.302609188
230	4.60414558	2.30207279
