iter	Passed	Remaining
0	177	176972
1	226	113166
2	264	88050
3	307	76688
4	348	69425
5	392	64990
6	432	61340
7	473	58662
8	516	56908
9	560	55484
10	604	54369
11	650	53550
12	700	53190
13	746	52582
14	801	52618
15	847	52137
16	901	52121
17	955	52131
18	1002	51775
19	1051	51533
20	1101	51344
21	1146	50958
22	1204	51177
23	1249	50823
24	1294	50501
25	1339	50190
26	1389	50069
27	1438	49924
28	1488	49838
29	1536	49693
30	1593	49806
31	1639	49602
32	1690	49546
33	1742	49508
34	1788	49305
35	1830	49017
36	1878	48882
37	1924	48718
38	1968	48496
39	2012	48293
40	2058	48158
41	2092	47719
42	2139	47607
43	2183	47442
44	2263	48043
45	2309	47889
46	2365	47972
47	2425	48110
48	2479	48117
49	2521	47910
50	2567	47778
51	2615	47690
52	2651	47368
53	2689	47118
54	2740	47081
55	2800	47213
56	2845	47079
57	2884	46847
58	2928	46701
59	2971	46552
60	3015	46413
61	3062	46325
62	3106	46199
63	3150	46069
64	3193	45935
65	3241	45874
66	3285	45748
67	3333	45687
68	3378	45580
69	3426	45525
70	3473	45444
71	3517	45335
72	3563	45251
73	3602	45078
74	3657	45104
75	3696	44946
76	3740	44834
77	3788	44778
78	3834	44699
79	3873	44547
80	3914	44414
81	3957	44309
82	4000	44201
83	4042	44078
84	4090	44033
85	4133	43929
86	4218	44271
87	4266	44213
88	4305	44069
89	4347	43953
90	4397	43927
91	4451	43938
92	4494	43837
93	4539	43755
94	4561	43458
95	4602	43339
96	4642	43217
97	4681	43085
98	4721	42969
99	4762	42861
100	4805	42769
101	4855	42748
102	4895	42632
103	4944	42597
104	4987	42513
105	5035	42473
106	5084	42436
107	5143	42478
108	5203	42538
109	5248	42464
110	5291	42383
111	5339	42338
112	5388	42294
113	5433	42229
114	5490	42251
115	5540	42223
116	5584	42142
117	5629	42079
118	5673	42000
119	5716	41920
120	5757	41827
121	5800	41746
122	5845	41678
123	5886	41583
124	5930	41511
125	5969	41409
126	6014	41342
127	6055	41252
128	6083	41074
129	6125	40996
130	6165	40900
131	6206	40810
132	6259	40803
133	6279	40584
134	6325	40532
135	6377	40516
136	6426	40480
137	6472	40430
138	6516	40365
139	6560	40300
140	6611	40277
141	6662	40255
142	6708	40203
143	6753	40143
144	6795	40068
145	6840	40014
146	6887	39967
147	6932	39907
148	6973	39831
149	7019	39779
150	7064	39721
151	7104	39634
152	7147	39568
153	7186	39476
154	7202	39264
155	7241	39176
156	7280	39090
157	7319	39007
158	7358	38918
159	7396	38832
160	7435	38745
161	7475	38668
162	7516	38598
163	7554	38510
164	7593	38428
165	7632	38346
166	7671	38265
167	7709	38179
168	7749	38104
169	7774	37957
170	7811	37869
171	7852	37800
172	7891	37724
173	7931	37651
174	7970	37575
175	8011	37507
176	8049	37425
177	8087	37347
178	8126	37271
179	8164	37192
180	8217	37182
181	8259	37120
182	8298	37049
183	8338	36978
184	8379	36913
185	8418	36843
186	8456	36766
187	8495	36692
188	8533	36615
189	8573	36549
190	8610	36471
191	8650	36402
192	8689	36332
193	8728	36262
194	8765	36187
195	8803	36113
196	8842	36044
197	8880	35969
198	8887	35772
199	8925	35701
200	8967	35645
201	9010	35595
202	9054	35549
203	9095	35491
204	9140	35448
205	9185	35405
206	9228	35352
207	9267	35287
208	9308	35230
209	9353	35186
210	9384	35090
211	9427	35043
212	9471	34996
213	9535	35024
214	9619	35122
215	9669	35096
216	9719	35069
217	9773	35058
218	9823	35031
219	9869	34991
220	9920	34967
221	9968	34935
222	10030	34949
223	10076	34907
224	10119	34856
225	10179	34863
226	10241	34875
227	10295	34858
228	10347	34839
229	10403	34829
230	10462	34828
231	10504	34775
232	10545	34713
233	10585	34653
234	10623	34583
235	10663	34520
236	10701	34451
237	10741	34389
238	10781	34328
239	10821	34267
240	10860	34204
241	10886	34099
242	10925	34035
243	10969	33987
244	11012	33937
245	11058	33895
246	11106	33858
247	11146	33800
248	11193	33761
249	11241	33723
250	11298	33714
251	11342	33668
252	11387	33622
253	11437	33593
254	11477	33532
255	11516	33468
256	11555	33406
257	11592	33339
258	11637	33293
259	11677	33237
260	11717	33176
261	11755	33112
262	11795	33055
263	11834	32991
264	11874	32933
265	11912	32870
266	11950	32808
267	11988	32745
268	12030	32691
269	12067	32627
270	12105	32565
271	12146	32508
272	12186	32454
273	12206	32341
274	12244	32281
275	12283	32222
276	12323	32166
277	12363	32109
278	12401	32049
279	12439	31987
280	12479	31931
281	12517	31871
282	12558	31817
283	12596	31756
284	12636	31701
285	12674	31641
286	12712	31582
287	12750	31522
288	12790	31466
289	12829	31410
290	12869	31356
291	12908	31299
292	12949	31246
293	12987	31187
294	13026	31130
295	13065	31073
296	13104	31018
297	13143	30961
298	13181	30903
299	13220	30847
300	13261	30795
301	13307	30757
302	13351	30711
303	13393	30664
304	13434	30613
305	13474	30560
306	13515	30508
307	13564	30475
308	13603	30420
309	13642	30364
310	13683	30314
311	13722	30259
312	13764	30211
313	13808	30168
314	13852	30122
315	13894	30076
316	13936	30027
317	13977	29977
318	14022	29936
319	14070	29900
320	14115	29858
321	14162	29820
322	14210	29784
323	14259	29751
324	14304	29709
325	14347	29662
326	14391	29618
327	14440	29584
328	14503	29580
329	14547	29536
330	14590	29489
331	14628	29433
332	14666	29376
333	14705	29322
334	14744	29268
335	14786	29220
336	14826	29168
337	14865	29116
338	14945	29141
339	15005	29128
340	15064	29112
341	15136	29121
342	15189	29094
343	15227	29039
344	15268	28987
345	15313	28944
346	15358	28901
347	15399	28851
348	15440	28801
349	15480	28749
350	15520	28698
351	15564	28653
352	15605	28603
353	15648	28556
354	15692	28511
355	15735	28465
356	15780	28421
357	15819	28368
358	15859	28317
359	15906	28277
360	15949	28231
361	15991	28184
362	16031	28132
363	16073	28084
364	16116	28037
365	16157	27988
366	16200	27942
367	16271	27945
368	16328	27922
369	16377	27886
370	16440	27872
371	16496	27848
372	16540	27804
373	16587	27763
374	16631	27719
375	16674	27673
376	16717	27625
377	16759	27578
378	16803	27533
379	16853	27497
380	16901	27459
381	16946	27416
382	16993	27376
383	17046	27344
384	17098	27313
385	17138	27262
386	17179	27212
387	17224	27167
388	17269	27124
389	17308	27072
390	17350	27024
391	17398	26985
392	17438	26934
393	17478	26883
394	17531	26852
395	17601	26846
396	17664	26830
397	17711	26789
398	17772	26769
399	17821	26732
400	17864	26684
401	17912	26645
402	17957	26602
403	18001	26557
404	18041	26506
405	18084	26458
406	18125	26408
407	18164	26356
408	18202	26301
409	18241	26250
410	18284	26203
411	18327	26156
412	18369	26108
413	18414	26064
414	18458	26019
415	18503	25975
416	18553	25939
417	18603	25902
418	18651	25863
419	18707	25834
420	18755	25794
421	18808	25760
422	18855	25719
423	18916	25697
424	18966	25660
425	19017	25624
426	19072	25593
427	19129	25564
428	19193	25545
429	19259	25529
430	19313	25496
431	19361	25457
432	19410	25417
433	19460	25378
434	19512	25343
435	19573	25319
436	19633	25294
437	19691	25266
438	19748	25236
439	19805	25206
440	19866	25182
441	19928	25158
442	19989	25133
443	20048	25105
444	20115	25087
445	20179	25065
446	20248	25050
447	20312	25028
448	20374	25003
449	20441	24984
450	20507	24963
451	20573	24943
452	20640	24923
453	20700	24895
454	20761	24868
455	20826	24845
456	20886	24816
457	20951	24794
458	21015	24769
459	21077	24743
460	21138	24715
461	21197	24685
462	21268	24667
463	21347	24659
464	21455	24685
465	21532	24674
466	21599	24652
467	21666	24629
468	21737	24611
469	21804	24587
470	21877	24571
471	21939	24542
472	22001	24512
473	22066	24487
474	22124	24453
475	22180	24417
476	22239	24383
477	22294	24346
478	22347	24307
479	22403	24270
480	22458	24232
481	22512	24194
482	22566	24155
483	22620	24115
484	22675	24078
485	22728	24038
486	22783	23999
487	22835	23959
488	22888	23917
489	22941	23878
490	22994	23837
491	23047	23796
492	23098	23754
493	23152	23715
494	23206	23675
495	23256	23632
496	23308	23589
497	23362	23549
498	23413	23507
499	23465	23465
500	23517	23423
501	23573	23385
502	23627	23345
503	23678	23302
504	23737	23267
505	23790	23226
506	23837	23179
507	23887	23135
508	23937	23090
509	23989	23049
510	24039	23004
511	24099	22969
512	24159	22935
513	24217	22898
514	24281	22867
515	24337	22828
516	24391	22787
517	24444	22745
518	24496	22702
519	24555	22666
520	24614	22629
521	24674	22594
522	24727	22553
523	24780	22510
524	24836	22470
525	24888	22428
526	24938	22382
527	24988	22337
528	25036	22291
529	25087	22247
530	25136	22201
531	25187	22157
532	25235	22110
533	25285	22065
534	25333	22018
535	25382	21972
536	25433	21928
537	25483	21883
538	25536	21840
539	25590	21799
540	25644	21757
541	25695	21713
542	25747	21669
543	25796	21623
544	25845	21577
545	25896	21533
546	25945	21486
547	25994	21440
548	26043	21394
549	26095	21350
550	26144	21304
551	26193	21258
552	26245	21214
553	26299	21172
554	26347	21125
555	26396	21079
556	26444	21032
557	26494	20986
558	26543	20940
559	26595	20896
560	26644	20849
561	26694	20804
562	26744	20758
563	26794	20713
564	26844	20667
565	26896	20623
566	26958	20587
567	27006	20539
568	27054	20492
569	27103	20446
570	27152	20399
571	27200	20352
572	27250	20306
573	27298	20259
574	27348	20214
575	27396	20167
576	27444	20119
577	27492	20072
578	27541	20025
579	27591	19979
580	27643	19935
581	27692	19888
582	27743	19843
583	27792	19797
584	27845	19753
585	27895	19707
586	27946	19662
587	27995	19616
588	28046	19570
589	28096	19524
590	28146	19478
591	28195	19431
592	28248	19387
593	28297	19341
594	28347	19295
595	28397	19249
596	28446	19202
597	28495	19156
598	28546	19110
599	28593	19062
600	28640	19014
601	28699	18974
602	28763	18937
603	28825	18898
604	28882	18856
605	28944	18818
606	28998	18774
607	29052	18730
608	29104	18686
609	29158	18642
610	29213	18599
611	29271	18557
612	29327	18514
613	29380	18470
614	29434	18426
615	29488	18382
616	29539	18336
617	29592	18291
618	29642	18245
619	29693	18199
620	29743	18152
621	29796	18107
622	29848	18062
623	29901	18017
624	29954	17972
625	30005	17926
626	30052	17878
627	30099	17829
628	30146	17781
629	30194	17733
630	30242	17685
631	30290	17637
632	30337	17589
633	30386	17541
634	30434	17494
635	30483	17446
636	30531	17398
637	30579	17350
638	30629	17304
639	30678	17256
640	30729	17210
641	30780	17164
642	30830	17117
643	30879	17069
